FlightID,BookingID,Airline,FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime
FLT00001,BKG00001,Qatar Airwyas,QR812,,KTM,8/10/25 14:20,8/11/25 3:10
FLT00002,BKG00002,Emirates,EK-215,LAX,DXB,8/2/23 9:15,14-02-2023 22:40
FLT00003,BKG00003,Air Asia,AA 991,SIN,KTM,12/20/25 7:00,12/20/25 5:30
FLT00004,BKG00004,Turkish Airlns,TK707,IST,KTM,5/1/24 18:45,5/2/24 7:10
FLT00005,BKG00005,IndiGo,6E-512,DEL,KTM,5/3/24 11:20,5/3/24 10:50
FLT00006,BKG00006,China Eastrn,CE-441,PEK,KTM,8/16/23 6:30,8/16/23 15:00
FLT00007,BKG00007,Thai Air,THA-992,BKK,KTM,11/21/25 21:10,11/22/25 0:40
FLT00008,BKG00008,Air France,AF 218,CDG,KTM,8/19/24 10:00,8/20/24 1:15
FLT00009,BKG00009,Emirates,EK-216,DXB,LAX,5/7/24 23:55,5/8/24 8:30
FLT00010,BKG00010,United Air,UA-991,LHR,JFK,6/25/23 13:40,6/25/23 16:10
FLT00011,BKG00011,Air Asia,AA 221,SIN,KTM,12/13/25 9:00,12/13/25 11:50
FLT00012,BKG00012,Qatar Airwyas,QR 901,DOH,KTM,8/20/25 2:15,8/20/25 12:00
FLT00013,BKG00013,Turkish Airlns,TK 709,IST,KTM,6/3/24 18:00,6/4/24 6:30
FLT00014,BKG00014,Emirates,EK-214,LAX,DXB,5/19/23 22:10,5/20/23 20:00
FLT00015,BKG00015,IndiGo,6E 441,DEL,KTM,11/11/24 7:45,11/11/24 9:00
FLT00016,BKG00016,China Eastrn,CE-552,PEK,KTM,11/24/24 16:30,11/25/24 2:10
FLT00017,BKG00017,Thai Air,THA 771,BKK,KTM,9/7/25 20:00,9/8/25 0:20
FLT00018,BKG00018,Air France,AF 219,CDG,KTM,5/10/23 11:00,5/10/23 23:40
FLT00019,BKG00019,Emirates,EK 217,DXB,LAX,8/23/24 1:20,8/23/24 8:50
FLT00020,BKG00020,United Air,UA 992,LHR,JFK,3/27/23 14:10,3/27/23 17:00
FLT00021,BKG00021,Air Asia,AA 222,SIN,KTM,8/27/25 10:00,8/27/25 12:40
FLT00022,BKG00022,Qatar Airwyas,QR 902,DOH,KTM,8/8/24 3:30,8/8/24 13:00
FLT00023,BKG00023,Turkish Airlns,TK 710,IST,KTM,7/13/24 19:00,7/14/24 6:10
FLT00024,BKG00024,Emirates,EK 215,LAX,DXB,3/30/25 21:40,3/31/25 20:00
FLT00025,BKG00025,IndiGo,6E-513,DEL,KTM,11/25/24 9:10,11/25/24 11:00
FLT00026,BKG00026,China Eastrn,CE 553,PEK,KTM,1/22/25 17:00,1/23/25 2:30
FLT00027,BKG00027,Thai Air,THA 772,BKK,KTM,5/19/25 22:00,5/20/25 1:40
FLT00028,BKG00028,Air France,AF 220,CDG,KTM,8/24/24 12:00,8/25/24 1:10
FLT00029,BKG00029,Emirates,EK 218,DXB,LAX,11/2/24 23:00,11/3/24 8:20
FLT00030,BKG00030,United Air,UA 993,LHR,JFK,7/2/25 15:30,7/2/25 18:10
FLT00031,BKG00031,Air Asia,AA 223,SIN,KTM,6/28/25 9:00,6/28/25 11:40
FLT00032,BKG00032,Qatar Airwyas,QR 903,DOH,KTM,12/23/24 4:00,12/23/24 14:00
FLT00033,BKG00033,Turkish Airlns,TK 711,IST,KTM,4/28/23 17:00,4/29/23 5:30
FLT00034,BKG00034,Emirates,EK 219,LAX,DXB,11/16/25 20:00,11/17/25 19:00
FLT00035,BKG00035,IndiGo,6E 514,DEL,KTM,10/20/23 6:30,10/20/23 8:00
FLT00036,BKG00036,China Eastrn,CE 554,PEK,KTM,9/16/23 14:00,9/17/23 1:00
FLT00037,BKG00037,Thai Air,THA 773,BKK,KTM,1/11/25 23:00,1/12/25 2:20
FLT00038,BKG00038,Air France,AF 221,CDG,KTM,7/10/25 10:00,7/11/25 0:30
FLT00039,BKG00039,Emirates,EK 220,DXB,LAX,6/7/23 22:00,6/8/23 7:40
FLT00040,BKG00040,United Air,UA 994,LHR,JFK,3/26/25 13:00,3/26/25 16:40
FLT00041,BKG00041,Air Asia,AA 224,SIN,KTM,8/21/23 8:00,8/21/23 10:40
FLT00042,BKG00042,Qatar Airwyas,QR 904,DOH,KTM,11/26/25 2:00,11/26/25 12:00
FLT00043,BKG00043,Turkish Airlns,TK 712,IST,KTM,6/17/24 18:00,6/18/24 6:20
FLT00044,BKG00044,Emirates,EK 221,LAX,DXB,8/7/24 21:00,8/8/24 19:00
FLT00045,BKG00045,IndiGo,6E 515,DEL,KTM,9/9/23 5:30,9/9/23 7:00
FLT00046,BKG00046,China Eastrn,CE 555,PEK,KTM,12/20/23 16:00,12/21/23 3:00
FLT00047,BKG00047,Thai Air,THA 774,BKK,KTM,10/16/24 20:00,10/17/24 0:10
FLT00048,BKG00048,Air France,AF 222,CDG,KTM,8/17/24 9:00,8/18/24 0:40
FLT00049,BKG00049,Emirates,EK 222,DXB,LAX,1/10/25 23:00,1/11/25 8:10
FLT00050,BKG00050,United Air,UA 995,LHR,JFK,2/16/24 14:00,2/16/24 17:20
FLT00051,BKG00051,Air Asia,AA 225,SIN,KTM,10/8/25 7:00,10/8/25 9:40
FLT00052,BKG00052,Qatar Airwyas,QR 905,DOH,KTM,8/15/25 3:00,8/15/25 13:00
FLT00053,BKG00053,Turkish Airlns,TK 713,IST,KTM,5/15/23 18:00,5/16/23 6:00
FLT00054,BKG00054,Emirates,EK 223,LAX,DXB,12/12/25 22:00,12/13/25 20:00
FLT00055,BKG00055,IndiGo,6E 516,DEL,KTM,9/14/23 6:00,9/14/23 7:40
FLT00056,BKG00056,China Eastrn,CE 556,PEK,KTM,8/12/25 15:00,8/13/25 2:00
FLT00057,BKG00057,Thai Air,THA 775,BKK,KTM,1/8/24 21:00,1/9/24 0:30
FLT00058,BKG00058,Air France,AF 223,CDG,KTM,10/26/25 11:00,10/27/25 1:00
FLT00059,BKG00059,Emirates,EK 224,DXB,LAX,11/27/25 23:00,11/28/25 8:40
FLT00060,BKG00060,United Air,UA 996,LHR,JFK,11/28/23 13:00,11/28/23 16:20
FLT00061,BKG00061,Air Asia,AA 226,SIN,KTM,11/28/25 9:00,11/28/25 11:40
FLT00062,BKG00062,Qatar Airwyas,QR 906,DOH,KTM,2/7/24 4:00,2/7/24 14:00
FLT00063,BKG00063,Turkish Airlns,TK 714,IST,KTM,9/12/24 17:00,9/13/24 5:30
FLT00064,BKG00064,Emirates,EK 225,LAX,DXB,11/12/23 22:00,11/13/23 19:00
FLT00065,BKG00065,IndiGo,6E 517,DEL,KTM,2/28/23 6:00,2/28/23 7:40
FLT00066,BKG00066,China Eastrn,CE 557,PEK,KTM,3/7/24 15:00,3/8/24 2:00
FLT00067,BKG00067,Thai Air,THA 776,BKK,KTM,10/16/25 20:00,10/17/25 0:20
FLT00068,BKG00068,Air France,AF 224,CDG,KTM,9/16/25 12:00,9/17/25 1:00
FLT00069,BKG00069,Emirates,EK 226,DXB,LAX,7/17/25 23:00,7/18/25 8:20
FLT00070,BKG00070,United Air,UA 997,LHR,JFK,6/19/25 14:00,6/19/25 17:10
FLT00071,BKG00071,Air Asia,AA 227,SIN,KTM,2/22/24 8:00,2/22/24 10:40
FLT00072,BKG00072,Qatar Airwyas,QR 907,DOH,KTM,10/15/24 3:00,10/15/24 13:00
FLT00073,BKG00073,Turkish Airlns,TK 715,IST,KTM,9/25/23 18:00,9/26/23 6:00
FLT00074,BKG00074,Emirates,EK 227,LAX,DXB,10/15/24 21:00,10/16/24 19:00
FLT00075,BKG00075,IndiGo,6E 518,DEL,KTM,7/1/24 7:00,7/1/24 8:40
FLT00076,BKG00076,China Eastrn,CE 558,PEK,KTM,7/18/23 13:00,7/19/23 1:00
FLT00077,BKG00077,Thai Air,THA 777,BKK,KTM,5/6/25 22:00,5/7/25 1:40
FLT00078,BKG00078,Air France,AF 225,CDG,KTM,10/2/24 11:00,10/3/24 1:00
FLT00079,BKG00079,Emirates,EK 228,DXB,LAX,11/20/25 23:00,11/21/25 8:20
FLT00080,BKG00080,United Air,UA 998,LHR,JFK,10/15/25 14:00,10/15/25 17:10
FLT00081,BKG00081,Air Asia,AA 228,SIN,KTM,11/1/25 9:00,11/1/25 11:40
FLT00082,BKG00082,Qatar Airwyas,QR 908,DOH,KTM,12/23/24 3:00,12/23/24 13:00
FLT00083,BKG00083,Turkish Airlns,TK 716,IST,KTM,10/10/25 18:00,10/11/25 6:00
FLT00084,BKG00084,Emirates,EK 229,LAX,DXB,1/17/23 22:00,1/18/23 19:00
FLT00085,BKG00085,IndiGo,6E 519,DEL,KTM,10/2/23 6:00,10/2/23 7:40
FLT00086,BKG00086,China Eastrn,CE 559,PEK,KTM,1/19/25 16:00,1/20/25 2:00
FLT00087,BKG00087,Thai Air,THA 778,BKK,KTM,2/3/24 21:00,2/4/24 0:30
FLT00088,BKG00088,Air France,AF 226,CDG,KTM,3/2/25 10:00,3/3/25 1:00
FLT00089,BKG00089,Emirates,EK 230,DXB,LAX,9/1/23 23:00,9/2/23 8:20
FLT00090,BKG00090,United Air,UA 999,LHR,JFK,2/3/25 14:00,2/3/25 17:10
FLT00091,BKG00091,Air Asia,AA 229,SIN,KTM,10/23/23 8:00,10/23/23 10:40
FLT00092,BKG00092,Qatar Airwyas,QR 909,DOH,KTM,4/3/23 4:00,4/3/23 14:00
FLT00093,BKG00093,Turkish Airlns,TK 717,IST,KTM,8/28/25 18:00,8/29/25 6:10
FLT00094,BKG00094,Emirates,EK 231,DXB,LAX,11/21/25 23:30,11/22/25 8:50
FLT00095,BKG00095,IndiGo,6E 520,DEL,KTM,11/29/23 7:10,11/29/23 8:40
FLT00096,BKG00096,China Eastrn,CE 560,PEK,KTM,11/4/25 16:00,11/5/25 2:00
FLT00097,BKG00097,Thai Air,THA 779,BKK,KTM,8/30/25 22:00,8/31/25 1:40
FLT00098,BKG00098,Air France,AF 227,CDG,KTM,11/9/24 10:00,11/10/24 0:50
FLT00099,BKG00099,Emirates,EK 232,DXB,LAX,9/22/24 23:00,9/23/24 8:20
FLT00100,BKG00100,United Air,UA 1000,LHR,JFK,6/27/24 14:00,6/27/24 17:10
FLT00101,BKG00101,Air Asia,AA 230,SIN,KTM,9/10/25 9:00,9/10/25 11:40
FLT00102,BKG00102,Qatar Airwyas,QR 910,DOH,KTM,5/11/24 3:00,5/11/24 13:00
FLT00103,BKG00103,Turkish Airlns,TK 718,IST,KTM,2/8/23 18:00,2/9/23 6:00
FLT00104,BKG00104,Emirates,EK 233,LAX,DXB,11/7/23 21:00,11/8/23 19:00
FLT00105,BKG00105,IndiGo,6E 521,DEL,KTM,10/24/25 6:00,10/24/25 7:40
FLT00106,BKG00106,China Eastrn,CE 561,PEK,KTM,10/10/23 15:00,10/11/23 2:00
FLT00107,BKG00107,Thai Air,THA 780,BKK,KTM,9/6/25 20:00,9/7/25 0:20
FLT00108,BKG00108,Air France,AF 228,CDG,KTM,12/21/23 11:00,12/22/23 1:00
FLT00109,BKG00109,Emirates,EK 234,DXB,LAX,6/25/24 23:00,6/26/24 8:20
FLT00110,BKG00110,United Air,UA 1001,LHR,JFK,5/19/24 14:00,5/19/24 17:10
FLT00111,BKG00111,Air Asia,AA 231,SIN,KTM,9/1/24 8:00,9/1/24 10:40
FLT001112,BKG00112,Qatar Airwyas,QR 911,DOH,KTM,9/28/25 3:00,9/28/25 13:00
FLT00113,BKG00113,Turkish Airlns,TK 719,IST,KTM,7/14/24 18:00,7/15/24 6:00
FLT00114,BKG00114,Emirates,EK 235,LAX,DXB,3/19/25 21:00,3/20/25 19:00
FLT00115,BKG00115,IndiGo,6E 522,DEL,KTM,8/17/24 7:00,8/17/24 8:40
FLT00116,BKG00116,China Eastrn,CE 562,PEK,KTM,1/5/25 16:00,1/6/25 2:00
FLT00117,BKG00117,Thai Air,THA 781,BKK,KTM,3/11/24 20:00,3/12/24 0:20
FLT00118,BKG00118,Air France,AF 229,CDG,KTM,7/22/23 10:00,7/23/23 1:00
FLT00119,BKG00119,Emirates,EK 236,DXB,LAX,6/14/25 23:00,6/15/25 8:20
FLT00120,BKG00120,United Air,UA 1002,LHR,JFK,11/3/24 13:00,11/3/24 16:40
FLT00121,BKG00121,Air Asia,AA 232,SIN,KTM,12/1/23 9:00,12/1/23 11:40
FLT00122,BKG00122,Qatar Airwyas,QR 912,DOH,KTM,4/17/25 4:00,4/17/25 14:00
FLT00123,BKG00123,Turkish Airlns,TK 720,IST,KTM,10/5/24 17:00,10/6/24 5:30
FLT00124,BKG00124,Emirates,EK 237,LAX,DXB,6/19/23 22:00,6/20/23 19:00
FLT00125,BKG00125,IndiGo,6E 523,DEL,KTM,2/14/25 6:00,2/14/25 7:40
FLT00126,BKG00126,China Eastrn,CE 563,PEK,KTM,9/11/24 15:00,9/12/24 2:00
FLT00127,BKG00127,Thai Air,THA 782,BKK,KTM,8/1/25 21:00,8/2/25 0:20
FLT00128,BKG00128,Air France,AF 230,CDG,KTM,4/9/24 12:00,4/10/24 1:00
FLT00129,BKG00129,Emirates,EK 238,DXB,LAX,3/27/23 23:00,3/28/23 8:20
FLT00130,BKG00130,United Air,UA 1003,LHR,JFK,7/19/25 14:00,7/19/25 17:10
FLT00131,BKG00131,Air Asia,AA 233,SIN,KTM,1/14/24 9:00,1/14/24 11:40
FLT00132,BKG00132,Qatar Airwyas,QR 913,DOH,KTM,8/3/23 3:00,8/3/23 13:00
FLT00133,BKG00133,Turkish Airlns,TK 721,IST,KTM,10/11/25 18:00,10/12/25 6:00
FLT00134,BKG00134,Emirates,EK 239,LAX,DXB,12/5/24 21:00,12/6/24 19:00
FLT00135,BKG00135,IndiGo,6E 524,DEL,KTM,11/9/23 7:00,11/9/23 8:40
FLT00136,BKG00136,China Eastrn,CE 564,PEK,KTM,6/22/25 16:00,6/23/25 2:00
FLT00137,BKG00137,Thai Air,THA 783,BKK,KTM,2/14/24 20:00,2/15/24 0:20
FLT00138,BKG00138,Air France,AF 231,CDG,KTM,10/3/23 11:00,10/4/23 1:00
FLT00139,BKG00139,Emirates,EK 240,DXB,LAX,9/17/25 23:00,9/18/25 8:20
FLT00140,BKG00140,United Air,UA 1004,LHR,JFK,3/29/24 13:00,3/29/24 16:40
FLT00141,BKG00141,Air Asia,AA 234,SIN,KTM,5/12/23 8:00,5/12/23 10:40
FLT00142,BKG00142,Qatar Airwyas,QR 914,DOH,KTM,8/8/25 4:00,8/8/25 14:00
FLT00143,BKG00143,Turkish Airlns,TK 722,IST,KTM,7/19/24 18:00,7/20/24 6:00
FLT00144,BKG00144,Emirates,EK 241,LAX,DXB,9/14/23 21:00,9/15/23 19:00
FLT00145,BKG00145,IndiGo,6E 525,DEL,KTM,11/3/25 7:00,11/3/25 8:40
FLT00146,BKG00146,China Eastrn,CE 565,PEK,KTM,1/27/24 16:00,1/28/24 2:00
FLT00147,BKG00147,Thai Air,THA 784,BKK,KTM,6/11/23 20:00,6/12/23 0:20
FLT00148,BKG00148,Air France,AF 232,CDG,KTM,10/9/25 11:00,10/10/25 1:00
FLT00149,BKG00149,Emirates,EK 242,DXB,LAX,5/23/24 23:00,5/24/24 8:20
FLT00150,BKG00150,United Air,UA 1005,LHR,JFK,12/14/23 14:00,12/14/23 17:10
FLT00151,BKG00151,Air Asia,AA 235,SIN,KTM,4/6/25 9:00,4/6/25 11:40
FLT00152,BKG00152,Qatar Airwyas,QR 915,DOH,KTM,6/17/24 3:00,6/17/24 13:00
