HotelID,BookingID,HotelName,RoomType,CheckInDate,CheckOutDate,,
HTL00001,BKG00001,Kasara  Resort,dbl,8/18/25,8/27/25,,
HTL00002,BKG00002,Hotel Yak &  Yetti,single,8/2/23,14/02/23,,
HTL00003,BKG00003,Barahi  Resorrt,Double,12/16/25,12/24/25,,
HTL00004,BKG00004,Hyatt  Regency  KTM,deluxe,5/1/24,5/7/24,,
HTL00005,BKG00005,Hyatt Regency Kathmandu,sngl,5/3/24,5/11/24,,
HTL00006,BKG00006,Kasara Resort,Single,8/16/23,8/31/23,,
HTL00007,BKG00007,Kasara  Resot,single,11/21/25,12/2/25,,
HTL00008,BKG00008,Barahi Resort,Double,8/19/24,8/27/24,,
HTL00009,BKG00009,Hotel Yak & Yeti,delux,5/7/24,5/18/24,,
HTL00010,BKG00010,Hotel Mystic  Mountain,dbl,6/25/23,7/5/23,,
HTL00011,BKG00011,Hotel Annapurna,single,12/13/25,12/23/25,,
HTL00012,BKG00012,Hotel Yak &  Yeti,Suite,8/20/25,8/22/25,,
HTL00013,BKG00013,Hotel Mystic Mountain,deluxe,6/3/24,6/16/24,,
HTL00014,BKG00014,Hotel Yak & Yeti,Delux,5/19/23,5/26/23,,
HTL00015,BKG00015,Barahi Resort,sngl,11/11/24,11/15/24,,
HTL00016,BKG00016,Hotel Yak & Yeti,deluxe,11/24/24,12/9/24,,
HTL00017,BKG00017,Temple Tree  Resort,ste,9/7/25,9/19/25,,
HTL00018,BKG00018,Temple Tree Resort,Double,5/10/23,5/23/23,,
HTL00019,BKG00019,Kasara Resort,single,8/23/24,8/28/24,,
HTL00020,BKG00020,Hotel Yak & Yeti,Double,3/27/23,4/3/23,,
HTL00021,BKG00021,Meghauli  Serai,Suite,8/27/25,9/2/25,,
HTL00022,BKG00022,Hotel Yak & Yeti,dbl,8/8/24,8/15/24,,
HTL00023,BKG00023,Hotel Yak & Yeti,Deluxe,7/13/24,7/16/24,,
HTL00024,BKG00024,Hotel Annapurna,Suite,3/30/25,4/12/25,,
HTL00025,BKG00025,Kasara Resort,Suite,11/25/24,11/29/24,,
HTL00026,BKG00026,Kasara Resort,Suite,1/22/25,2/5/25,,
HTL00027,BKG00027,Meghauli Serai,single,5/19/25,5/22/25,,
HTL00028,BKG00028,Hotel Mystic Mountain,Double,8/24/24,8/31/24,,
HTL00029,BKG00029,Hyatt Regency Kathmandu,sngl,11/2/24,11/14/24,,
HTL00030,BKG00030,Meghauli Serai,delux,7/2/25,7/13/25,,
HTL00031,BKG00031,Hotel Mystic Mountain,Double,6/28/25,7/5/25,,
HTL00032,BKG00032,Kasara Resort,single,12/23/24,1/3/25,,
HTL00033,BKG00033,Hotel Mystic Mountain,deluxe,4/28/23,5/1/23,,
HTL00034,BKG00034,Hotel Mystic Mountain,Delux,11/16/25,11/30/25,,
HTL00035,BKG00035,Temple Tree Resort,single,10/20/23,11/4/23,,
HTL00036,BKG00036,Kasara Resort,Single,9/16/23,9/19/23,,
HTL00037,BKG00037,Barahi Resort,Deluxe,1/11/25,1/19/25,,
HTL00038,BKG00038,Hotel Yak & Yeti,Double,7/10/25,7/17/25,,
HTL00039,BKG00039,Hotel Annapurna,Suite,6/7/23,6/18/23,,
HTL00040,BKG00040,Temple Tree Resort,Deluxe,3/26/25,4/2/25,,
HTL00041,BKG00041,Meghauli Serai,Double,8/21/23,8/23/23,,
HTL00042,BKG00042,Temple Tree Resort,Suite,11/26/25,12/4/25,,
HTL00043,BKG00043,Hyatt Regency Kathmandu,Deluxe,6/17/24,6/30/24,,
HTL00044,BKG00044,Kasara Resort,Double,8/7/24,8/20/24,,
HTL00045,BKG00045,Kasara Resort,Double,9/9/23,9/13/23,,
HTL00046,BKG00046,Hyatt Regency Kathmandu,Suite,12/20/23,1/2/24,,
HTL00047,BKG00047,Kasara Resort,single,10/16/24,10/28/24,,
HTL00048,BKG00048,Hotel Annapurna,single,8/17/24,8/23/24,,
HTL00049,BKG00049,Temple Tree Resort,Double,1/10/25,1/20/25,,
HTL00050,BKG00050,Barahi Resort,single,2/16/24,3/1/24,,
HTL00051,BKG00051,Temple Tree Resort,Double,10/8/25,10/10/25,,
HTL00052,BKG00052,Hotel Annapurna,Deluxe,8/15/25,8/29/25,,
HTL00053,BKG00053,Temple Tree Resort,single,5/15/23,5/21/23,,
HTL00054,BKG00054,Hotel Mystic Mountain,Suite,12/12/25,12/20/25,,
HTL00055,BKG00055,Hotel Mystic Mountain,single,9/14/23,9/21/23,,
HTL00056,BKG00056,Hyatt Regency Kathmandu,Suite,8/12/25,8/24/25,,
HTL00057,BKG00057,Hotel Annapurna,Double,1/8/24,1/22/24,,
HTL00058,BKG00058,Temple Tree Resort,Suite,10/26/25,11/10/25,,
HTL00059,BKG00059,Hotel Yak & Yeti,single,11/27/25,12/1/25,,
HTL00060,BKG00060,Meghauli Serai,Double,11/28/23,12/5/23,,
HTL00061,BKG00061,Barahi Resort,Deluxe,11/28/25,12/4/25,,
HTL00062,BKG00062,Hyatt Regency Kathmandu,Deluxe,2/7/24,2/19/24,,
HTL00063,BKG00063,Meghauli Serai,Double,9/12/24,9/23/24,,
HTL00064,BKG00064,Hyatt Regency Kathmandu,Double,11/12/23,11/16/23,,
HTL00065,BKG00065,Hotel Annapurna,single,2/28/23,3/3/23,,
HTL00066,BKG00066,Hotel Yak & Yeti,Deluxe,3/7/24,3/21/24,,
HTL00067,BKG00067,Hotel Mystic Mountain,single,10/16/25,10/28/25,,
HTL00068,BKG00068,Meghauli Serai,Deluxe,9/16/25,9/21/25,,
HTL00069,BKG00069,Hotel Mystic Mountain,Deluxe,7/17/25,7/20/25,,
HTL00070,BKG00070,Hotel Yak & Yeti,Double,6/19/25,6/27/25,,
HTL00071,BKG00071,Kasara Resort,Suite,2/22/24,2/29/24,,
HTL00072,BKG00072,Temple Tree Resort,Deluxe,10/15/24,10/28/24,,
HTL00073,BKG00073,Hotel Annapurna,Suite,9/25/23,10/9/23,,
HTL00074,BKG00074,Hotel Annapurna,single,10/15/24,10/20/24,,
HTL00075,BKG00075,Kasara Resort,single,7/1/24,7/10/24,,
HTL00076,BKG00076,Barahi Resort,Double,7/18/23,7/20/23,,
HTL00077,BKG00077,Meghauli Serai,Suite,5/6/25,5/11/25,,
HTL00078,BKG00078,Temple Tree Resort,Deluxe,10/2/24,10/7/24,,
HTL00079,BKG00079,Temple Tree Resort,Suite,11/20/25,11/29/25,,
HTL00080,BKG00080,Kasara Resort,Deluxe,10/15/25,10/17/25,,
HTL00081,BKG00081,Hyatt Regency Kathmandu,Suite,11/1/25,11/10/25,,
HTL00082,BKG00082,Barahi Resort,Double,12/23/24,12/25/24,,
HTL00083,BKG00083,Hotel Yak & Yeti,Deluxe,10/10/25,10/21/25,,
HTL00084,BKG00084,Kasara Resort,Deluxe,1/17/23,2/1/23,,
HTL00085,BKG00085,Hyatt Regency Kathmandu,Suite,10/2/23,10/8/23,,
HTL00086,BKG00086,Hotel Annapurna,Suite,1/19/25,1/21/25,,
HTL00087,BKG00087,Hotel Mystic Mountain,single,2/3/24,2/10/24,,
HTL00088,BKG00088,Meghauli Serai,single,3/2/25,3/12/25,,
HTL00089,BKG00089,Kasara Resort,Deluxe,9/1/23,9/5/23,,
HTL00090,BKG00090,Hyatt Regency Kathmandu,Suite,2/3/25,2/17/25,,
HTL00091,BKG00091,Hotel Annapurna,Deluxe,10/23/23,10/28/23,,
HTL00092,BKG00092,Hotel Mystic Mountain,single,4/3/23,4/5/23,,
HTL00093,BKG00093,Temple Tree Resort,Deluxe,8/28/25,9/7/25,,
HTL00094,BKG00094,Kasara Resort,Double,11/21/25,11/25/25,,
HTL00095,BKG00095,Hotel Annapurna,Deluxe,11/29/23,12/7/23,,
HTL00096,BKG00096,Meghauli Serai,Deluxe,11/4/25,11/19/25,,
HTL00097,BKG00097,Kasara Resort,Deluxe,8/30/25,9/14/25,,
HTL00098,BKG00098,Hotel Yak & Yeti,Deluxe,11/9/24,11/21/24,,
HTL00099,BKG00099,Hyatt Regency Kathmandu,Suite,9/22/24,10/6/24,,
HTL00100,BKG00100,Hotel Yak & Yeti,Suite,6/27/24,7/9/24,,
HTL00101,BKG00101,Barahi Resort,single,9/10/25,9/14/25,,
HTL00102,BKG00102,Hotel Mystic Mountain,Double,5/11/24,5/13/24,,
HTL00103,BKG00103,Hyatt Regency Kathmandu,Double,2/8/23,2/17/23,,
HTL00104,BKG00104,Hotel Annapurna,Suite,11/7/23,11/15/23,,
HTL00105,BKG00105,Barahi Resort,Suite,10/24/25,11/7/25,,
HTL00106,BKG00106,Kasara Resort,single,10/10/23,10/20/23,,
HTL00107,BKG00107,Barahi Resort,Deluxe,9/6/25,9/16/25,,
HTL00108,BKG00108,Hotel Mystic Mountain,Deluxe,12/21/23,12/30/23,,
HTL00109,BKG00109,Hotel Annapurna,Deluxe,6/25/24,7/6/24,,
HTL00110,BKG00110,Kasara Resort,Double,5/19/24,5/25/24,,
HTL00111,BKG00111,Meghauli Serai,Double,9/1/24,9/15/24,,
HTL001112,BKG00112,Meghauli Serai,Double,9/28/25,10/5/25,,
HTL00113,BKG00113,Kasara Resort,Deluxe,7/14/24,7/20/24,,
HTL00114,BKG00114,Hyatt Regency Kathmandu,Suite,3/19/25,4/3/25,,
HTL00115,BKG00115,Hotel Annapurna,Double,8/17/24,8/19/24,,
HTL00116,BKG00116,Hotel Yak & Yeti,Double,1/5/25,1/12/25,,
HTL00117,BKG00117,Temple Tree Resort,Suite,3/11/24,3/18/24,,
HTL00118,BKG00118,Kasara Resort,Single,7/22/23,7/29/23,,
HTL00119,BKG00119,Hotel Yak & Yeti,Deluxe,6/14/25,6/25/25,,
HTL00120,BKG00120,Hotel Mystic Mountain,Single,11/3/24,11/10/24,,
HTL00121,BKG00121,Hotel Annapurna,Suite,12/1/23,12/9/23,,
HTL00122,BKG00122,Kasara Resort,Double,4/17/25,4/22/25,,
HTL00123,BKG00123,Temple Tree Resort,Deluxe,10/5/24,10/15/24,,
HTL00124,BKG00124,Hotel Mystic Mountain,Single,6/19/23,6/27/23,,
HTL00125,BKG00125,Barahi Resort,Deluxe,2/14/25,2/20/25,,
HTL00126,BKG00126,Hotel Yak & Yeti,Suite,9/11/24,9/18/24,,
HTL00127,BKG00127,Meghauli Serai,Suite,8/1/25,8/12/25,,
HTL00128,BKG00128,Hotel Annapurna,Double,4/9/24,4/16/24,,
HTL00129,BKG00129,Kasara Resort,Deluxe,3/27/23,4/3/23,,
HTL00130,BKG00130,Hotel Yak & Yeti,Suite,7/19/25,7/27/25,,
HTL00131,BKG00131,Hotel Mystic Mountain,Double,1/14/24,1/25/24,,
HTL00132,BKG00132,Kasara Resort,Single,8/3/23,8/10/23,,
HTL00133,BKG00133,Temple Tree Resort,Deluxe,10/11/25,10/19/25,,
HTL00134,BKG00134,Hotel Annapurna,Suite,12/5/24,12/12/24,,
HTL00135,BKG00135,Barahi Resort,Single,11/9/23,11/18/23,,
HTL00136,BKG00136,Hotel Yak & Yeti,Deluxe,6/22/25,6/29/25,,
HTL00137,BKG00137,Hotel Mystic Mountain,Single,2/14/24,2/21/24,,
HTL00138,BKG00138,Kasara Resort,Deluxe,10/3/23,10/11/23,,
HTL00139,BKG00139,Hotel Annapurna,Suite,9/17/25,9/26/25,,
HTL00140,BKG00140,Temple Tree Resort,Deluxe,3/29/24,4/6/24,,
HTL00141,BKG00141,Meghauli Serai,Single,5/12/23,5/20/23,,
HTL00142,BKG00142,Hotel Yak & Yeti,Double,8/8/25,8/15/25,,
HTL00143,BKG00143,Hotel Mystic Mountain,Deluxe,7/19/24,7/28/24,,
HTL00144,BKG00144,Kasara Resort,Single,9/14/23,9/21/23,,
HTL00145,BKG00145,Hotel Annapurna,Suite,11/3/25,11/12/25,,
HTL00146,BKG00146,Barahi Resort,Double,1/27/24,2/4/24,,
HTL00147,BKG00147,Hotel Yak & Yeti,Deluxe,6/11/23,6/20/23,,
HTL00148,BKG00148,Temple Tree Resort,Suite,10/9/25,10/18/25,,
HTL00149,BKG00149,Hotel Mystic Mountain,Double,5/23/24,5/31/24,,
HTL00150,BKG00150,Kasara Resort,Single,12/14/23,12/22/23,,
HTL00151,BKG00151,Hotel Annapurna,Suite,4/6/25,4/15/25,,
HTL00152,BKG00152,Hotel Yak & Yeti,Deluxe,6/17/24,6/25/24,,
HTL00153,BKG00153,Barahi Resort,Single,8/9/23,8/17/23,,
HTL00154,BKG00154,Hotel Mystic Mountain,Suite,3/13/25,3/21/25,,
HTL00155,BKG00155,Kasara Resort,Deluxe,11/1/24,11/10/24,,
HTL00156,BKG00156,Hotel Annapurna,Single,7/5/23,7/13/23,,
HTL00157,BKG00157,Temple Tree Resort,Deluxe,9/22/25,9/30/25,,
HTL00158,BKG00158,Hotel Yak & Yeti,Suite,10/19/24,10/27/24,,
HTL00159,BKG00159,Meghauli Serai,Double,4/11/23,4/20/23,,
HTL00160,BKG00160,Hotel Mystic Mountain,Single,2/28/25,3/7/25,,
HTL00161,BKG00161,Kasara Resort,Deluxe,12/13/24,12/21/24,,
HTL00162,BKG00162,Hotel Annapurna,Suite,9/7/23,9/15/23,,
HTL00163,BKG00163,Hotel Yak & Yeti,Deluxe,6/3/25,6/12/25,,
HTL00164,BKG00164,Barahi Resort,Single,1/22/24,1/30/24,,
HTL00165,BKG00165,Hotel Mystic Mountain,Double,10/29/23,11/6/23,,
HTL00166,BKG00166,Kasara Resort,Suite,5/17/25,5/25/25,,
HTL00167,BKG00167,Hotel Annapurna,Deluxe,3/8/24,3/17/24,,
HTL00168,BKG00168,Temple Tree Resort,Single,11/26/23,12/4/23,,
HTL00169,BKG00169,Hotel Yak & Yeti,Suite,7/14/25,7/22/25,,
HTL00170,BKG00170,Meghauli Serai,Double,2/3/24,2/11/24,,
HTL00171,BKG00171,Kasara Resort,Deluxe,12/19/23,12/28/23,,
HTL00172,BKG00172,Hotel Mystic Mountain,Suite,9/5/25,9/13/25,,
HTL00173,BKG00173,Hotel Annapurna,Single,4/14/24,4/22/24,,
HTL00174,BKG00174,Barahi Resort,Deluxe,6/9/23,6/17/23,,
HTL00175,BKG00175,Kasara Resort,Single,11/11/25,11/20/25,,
HTL00176,BKG00176,Hotel Yak & Yeti,Suite,8/3/24,8/11/24,,
HTL00177,BKG00177,Temple Tree Resort,Deluxe,5/27/23,6/4/23,,
HTL00178,BKG00178,Hotel Mystic Mountain,Single,10/21/25,10/29/25,,
HTL00179,BKG00179,Meghauli Serai,Suite,1/9/24,1/18/24,,
HTL00180,BKG00180,Kasara Resort,Deluxe,9/23/23,10/1/23,,
HTL00181,BKG00181,Hotel Annapurna,Single,8/12/25,8/20/25,,
HTL00182,BKG00182,Hotel Yak & Yeti,Double,7/15/24,7/23/24,,
HTL00183,BKG00183,Barahi Resort,Suite,3/11/23,3/20/23,,
HTL00184,BKG00184,Hotel Mystic Mountain,Deluxe,6/28/25,7/6/25,,
HTL00185,BKG00185,Kasara Resort,Single,10/3/24,10/11/24,,
HTL00186,BKG00186,Hotel Annapurna,Suite,12/9/23,12/17/23,,
HTL00187,BKG00187,Temple Tree Resort,Deluxe,4/14/25,4/23/25,,
HTL00188,BKG00188,Hotel Yak & Yeti,Single,2/27/24,3/6/24,,
HTL00189,BKG00189,Meghauli Serai,Suite,11/18/23,11/26/23,,
HTL00190,BKG00190,Kasara Resort,Deluxe,5/9/25,5/17/25,,
