PaymentID,BookingID,Amount,Currency,PaymentMethod,PaymentStatus,Timestamp,
PAY00001,BKG00001,450.99,usd,crdit card,PAID,8/10/25 14:22,
PAY00002,BKG00002,1200.5,USD ,paypal,pendng,8/2/23 9:20,
PAY00003,BKG00003,-550,USD,bank tranfer,FAIL,12/20/25 7:10,
PAY00004,BKG00004,899,$,CASH,paid,5/1/24 18:50,
PAY00005,BKG00005,300.75,Usd,creditcard,PEND,5/3/24 11:25,
PAY00006,BKG00006,0,usd,bank transfer,FAILED,8/16/23 6:35,
PAY00007,BKG00007,1500.99,USD ,paypal,paid ,11/21/25 21:15,
PAY00008,BKG00008,780.4,usd,crdit card,pendng,8/19/24 10:05,
PAY00009,BKG00009,999.99,USD,bank tranfer,PAID,5/7/24 23:59,
PAY00010,BKG00010,450,$,paypal,faild,6/25/23 13:45,
PAY00011,BKG00011,120.5,usd,CASH,PAID,12/13/25 9:05,
PAY00012,BKG00012,600,Usd,credit card,pendng,8/20/25 2:20,
PAY00013,BKG00013,850.75,usd,bank transfer,FAILED,6/3/24 18:05,
PAY00014,BKG00014,999,USD,paypal,PAID,5/19/23 22:15,
PAY00015,BKG00015,450.25,$,crdit card,pendng,11/11/24 7:50,
PAY00016,BKG00016,300,usd,CASH,PAID,11/24/24 16:35,
PAY00017,BKG00017,150.99,Usd,bank tranfer,FAIL,9/7/25 20:05,
PAY00018,BKG00018,780,usd,paypal,PAID,5/10/23 11:05,
PAY00019,BKG00019,999.99,USD,creditcard,pendng,8/23/24 1:25,
PAY00020,BKG00020,450,$,bank transfer,PAID,3/27/23 14:15,
PAY00021,BKG00021,1200.5,usd,paypal,FAILED,8/27/25 10:05,
PAY00022,BKG00022,300.75,Usd,crdit card,PAID,8/8/24 3:35,
PAY00023,BKG00023,850.4,usd,bank tranfer,pendng,7/13/24 19:05,
PAY00024,BKG00024,999,USD,paypal,PAID,3/30/25 21:45,
PAY00025,BKG00025,450.25,$,CASH,pendng,11/25/24 9:15,
PAY00026,BKG00026,300,usd,credit card,PAID,1/22/25 17:05,
PAY00027,BKG00027,150.99,Usd,bank transfer,FAIL,5/19/25 22:05,
PAY00028,BKG00028,780,usd,paypal,PAID,8/24/24 12:05,
PAY00029,BKG00029,999.99,USD,crdit card,pendng,11/2/24 23:05,
PAY00030,BKG00030,450,$,bank tranfer,PAID,7/2/25 15:35,
PAY00031,BKG00031,1200.5,usd,paypal,FAILED,6/28/25 9:05,
PAY00032,BKG00032,300.75,Usd,creditcard,PAID,12/23/24 4:05,
PAY00033,BKG00033,850.4,usd,bank transfer,pendng,4/28/23 17:05,
PAY00034,BKG00034,999,USD,paypal,PAID,11/16/25 20:05,
PAY00035,BKG00035,450.25,$,crdit card,pendng,10/20/23 6:35,
PAY00036,BKG00036,300,usd,CASH,PAID,9/16/23 14:05,
PAY00037,BKG00037,150.99,Usd,bank tranfer,FAIL,1/11/25 23:05,
PAY00038,BKG00038,780,usd,paypal,PAID,7/10/25 10:05,
PAY00039,BKG00039,999.99,USD,credit card,pendng,6/7/23 22:05,
PAY00040,BKG00040,450,$,bank transfer,PAID,3/26/25 13:05,
PAY00041,BKG00041,1200.5,usd,paypal,FAILED,8/21/23 8:05,
PAY00042,BKG00042,300.75,Usd,crdit card,PAID,11/26/25 2:05,
