BookingID,UserID,TripType,Destination,DepartureDate,ReturnDate,BookingStatus
BKG00001,USR00001,one-way,Tokiyo,8/10/25,8/5/25,CONF
BKG00002,USR00002,RoundTrip,Colombbo,8/2/23,14-02-2023,pending
BKG00003,USR00003,roundtrip,Sydny,12/20/25,12/10/25,cncl
BKG00004,USR00004,ONE-WAY,Kathmndu,5/1/24,4/29/24,CONFIRMED
BKG00005,USR00005,round trip,Delhii,5/3/24,5/11/24,pendng
BKG00006,USR00006,OneWay,Bejing,8/16/23,8/31/23,cnfmd
BKG00007,USR00007,roundtrip,Chitwan,11/21/25,12/2/25,Cancelled
BKG00008,USR00008,ONE-WAY,Paris ,8/19/24,8/27/24,CONF
BKG00009,USR00009,roundtrip,New Yrok,5/7/24,5/18/24,pendng
BKG00010,USR00010,one way,London,6/25/23,7/5/23,CANCEL
BKG00011,USR00011,RoundTrip,Singapur,12/13/25,12/23/25,confirmed
BKG00012,USR00012,one-way,Doha,8/20/25,8/22/25,PEND
BKG00013,USR00013,roundtrip,Seoul,6/3/24,6/16/24,cncl
BKG00014,USR00014,ONE-WAY,Tokiyo,5/19/23,5/26/23,CONF
BKG00015,USR00015,roundtrip,Bangkok,11/11/24,11/15/24,pendng
BKG00016,USR00016,one way,Delhi,11/24/24,12/9/24,cnfmd
BKG00017,USR00017,RoundTrip,Paris,9/7/25,9/19/25,Cancelled
BKG00018,USR00018,one-way,Chitwan,5/10/23,5/23/23,CONF
BKG00019,USR00019,roundtrip,Colombo,8/23/24,8/28/24,pendng
BKG00020,USR00020,one-way,Tokyo,3/27/23,4/3/23,CONFIRMED
BKG00021,USR00021,roundtrip,Ktm,8/27/25,9/2/25,cncl
BKG00022,USR00022,ONE-WAY,Delhi,8/8/24,8/15/24,PEND
BKG00023,USR00023,roundtrip,Paris,7/13/24,7/16/24,CONF
BKG00024,USR00024,one-way,Singapore,3/30/25,4/12/25,cnfmd
BKG00025,USR00025,roundtrip,Beijing,11/25/24,11/29/24,Cancelled
BKG00026,USR00026,one-way,New York,1/22/25,2/5/25,CONF
BKG00027,USR00027,roundtrip,London,5/19/25,5/22/25,pendng
BKG00028,USR00028,ONE-WAY,Paris,8/24/24,8/31/24,CONFIRMED
BKG00029,USR00029,roundtrip,Tokyo,11/2/24,11/14/24,cncl
BKG00030,USR00030,one-way,Delhi,7/2/25,7/13/25,PEND
BKG00031,USR00031,roundtrip,Seoul,6/28/25,7/5/25,CONF
BKG00032,USR00032,one-way,Paris,12/23/24,1/3/25,pendng
BKG00033,USR00033,roundtrip,London,4/28/23,5/1/23,cnfmd
BKG00034,USR00034,ONE-WAY,Tokyo,11/16/25,11/30/25,Cancelled
BKG00035,USR00035,roundtrip,Bangkok,10/20/23,11/4/23,CONF
BKG00036,USR00036,one-way,Delhi,9/16/23,9/19/23,pendng
BKG00037,USR00037,roundtrip,Paris,1/11/25,1/19/25,cncl
BKG00038,USR00038,one-way,New York,7/10/25,7/17/25,CONF
BKG00039,USR00039,roundtrip,London,6/7/23,6/18/23,PEND
BKG00040,USR00040,one-way,Seoul,3/26/25,4/2/25,CONFIRMED
BKG00041,USR00041,roundtrip,Tokyo,8/21/23,8/23/23,cnfmd
BKG00042,USR00042,ONE-WAY,Delhi,11/26/25,12/4/25,Cancelled
BKG00043,USR00043,roundtrip,Paris,6/17/24,6/30/24,CONF
BKG00044,USR00044,one-way,Seoul,8/7/24,8/20/24,pendng
BKG00045,USR00045,roundtrip,Tokyo,9/9/23,9/13/23,cncl
BKG00046,USR00046,one-way,Delhi,12/20/23,1/2/24,CONF
BKG00047,USR00047,roundtrip,Paris,10/16/24,10/28/24,PEND
BKG00048,USR00048,one-way,London,8/17/24,8/23/24,CONFIRMED
BKG00049,USR00049,roundtrip,Tokyo,1/10/25,1/20/25,cnfmd
BKG00050,USR00050,one-way,Delhi,2/16/24,3/1/24,Cancelled
BKG00051,USR00051,roundtrip,Paris,10/8/25,10/10/25,CONF
BKG00052,USR00052,one-way,London,8/15/25,8/29/25,pendng
BKG00053,USR00053,roundtrip,Tokyo,5/15/23,5/21/23,cncl
BKG00054,USR00054,one-way,Delhi,12/12/25,12/20/25,CONF
BKG00055,USR00055,roundtrip,Paris,9/14/23,9/21/23,PEND
BKG00056,USR00056,one-way,London,8/12/25,8/24/25,CONFIRMED
BKG00057,USR00057,roundtrip,Tokyo,1/8/24,1/22/24,cnfmd
BKG00058,USR00058,one-way,Delhi,10/26/25,11/10/25,Cancelled
BKG00059,USR00059,roundtrip,Paris,11/27/25,12/1/25,CONF
BKG00060,USR00060,one-way,London,11/28/23,12/5/23,pendng
BKG00061,USR00061,roundtrip,Tokyo,11/28/25,12/4/25,cncl
BKG00062,USR00062,one-way,Delhi,2/7/24,2/19/24,CONF
BKG00063,USR00063,roundtrip,Paris,9/12/24,9/23/24,PEND
BKG00064,USR00064,one-way,London,11/12/23,11/16/23,CONFIRMED
BKG00065,USR00065,roundtrip,Tokyo,2/28/23,3/3/23,cnfmd
BKG00066,USR00066,one-way,Delhi,3/7/24,3/21/24,Cancelled
BKG00067,USR00067,roundtrip,Paris,10/16/25,10/28/25,CONF
BKG00068,USR00068,one-way,London,9/16/25,9/21/25,pendng
BKG00069,USR00069,roundtrip,Tokyo,7/17/25,7/20/25,cncl
BKG00070,USR00070,one-way,Delhi,6/19/25,6/27/25,CONF
BKG00071,USR00071,roundtrip,Paris,2/22/24,2/29/24,PEND
BKG00072,USR00072,one-way,London,10/15/24,10/28/24,CONFIRMED
BKG00073,USR00073,roundtrip,Tokyo,9/25/23,10/9/23,cnfmd
BKG00074,USR00074,one-way,Delhi,10/15/24,10/20/24,Cancelled
BKG00075,USR00075,roundtrip,Paris,7/1/24,7/10/24,CONF
BKG00076,USR00076,one-way,London,7/18/23,7/20/23,pendng
BKG00077,USR00077,roundtrip,Tokyo,5/6/25,5/11/25,cncl
BKG00078,USR00078,one-way,Delhi,10/2/24,10/7/24,CONF
BKG00079,USR00079,roundtrip,Paris,11/20/25,11/29/25,PEND
BKG00080,USR00080,one-way,London,10/15/25,10/17/25,CONFIRMED
BKG00081,USR00081,roundtrip,Tokyo,11/1/25,11/10/25,cnfmd
BKG00082,USR00082,one-way,Delhi,12/23/24,12/25/24,Cancelled
BKG00083,USR00083,roundtrip,Paris,10/10/25,10/21/25,CONF
BKG00084,USR00084,one-way,London,1/17/23,2/1/23,pendng
BKG00085,USR00085,roundtrip,Tokyo,10/2/23,10/8/23,cncl
BKG00086,USR00086,one-way,Delhi,1/19/25,1/21/25,CONF
BKG00087,USR00087,roundtrip,Paris,2/3/24,2/10/24,PEND
BKG00088,USR00088,one-way,London,3/2/25,3/12/25,CONFIRMED
BKG00089,USR00089,roundtrip,Tokyo,9/1/23,9/5/23,cnfmd
BKG00090,USR00090,one-way,Delhi,2/3/25,2/17/25,Cancelled
BKG00091,USR00091,roundtrip,Paris,10/23/23,10/28/23,CONF
BKG00092,USR00092,one-way,London,4/3/23,4/5/23,pendng
BKG00093,USR00093,roundtrip,Tokyo,8/28/25,9/7/25,cncl
BKG00094,USR00094,one-way,Delhi,11/21/25,11/25/25,CONF
BKG00095,USR00095,roundtrip,Paris,11/29/23,12/7/23,PEND
BKG00096,USR00096,one-way,London,11/4/25,11/19/25,CONFIRMED
BKG00097,USR00097,roundtrip,Tokyo,8/30/25,9/14/25,cnfmd
BKG00098,USR00098,one-way,Delhi,11/9/24,11/21/24,Cancelled
BKG00099,USR00099,roundtrip,Paris,9/22/24,10/6/24,CONF
BKG00100,USR00100,one-way,London,6/27/24,7/9/24,pendng
BKG00101,USR00101,roundtrip,Paris,9/10/25,9/14/25,CONF
BKG00102,USR00102,one-way,London,5/11/24,5/13/24,pendng
BKG00103,USR00103,roundtrip,Tokyo,2/8/23,2/17/23,cncl
BKG00104,USR00104,one-way,Delhi,11/7/23,11/15/23,CONFIRMED
BKG00105,USR00105,roundtrip,Paris,10/24/25,11/7/25,PEND
BKG00106,USR00106,one-way,London,10/10/23,10/20/23,cnfmd
BKG00107,USR00107,roundtrip,Tokyo,9/6/25,9/16/25,Cancelled
BKG00108,USR00108,one-way,Delhi,12/21/23,12/30/23,CONF
BKG00109,USR00109,roundtrip,Paris,6/25/24,7/6/24,pendng
BKG00110,USR00110,one-way,London,5/19/24,5/25/24,cncl
BKG00111,USR00111,roundtrip,Tokyo,9/1/24,9/15/24,CONF
BKG00112,USR00112,one-way,Delhi,9/28/25,10/5/25,PEND
BKG00113,USR00113,roundtrip,Paris,7/14/24,7/20/24,CONFIRMED
BKG00114,USR00114,one-way,London,3/19/25,4/3/25,cnfmd
BKG00115,USR00115,roundtrip,Tokyo,8/17/24,8/19/24,Cancelled
BKG00116,USR00116,one-way,Delhi,1/5/25,1/12/25,CONF
BKG00117,USR00117,roundtrip,Paris,3/11/24,3/18/24,pendng
BKG00118,USR00118,one-way,London,7/22/23,7/29/23,cncl
BKG00119,USR00119,roundtrip,Tokyo,6/14/25,6/25/25,CONF
BKG00120,USR00120,one-way,Delhi,11/3/24,11/10/24,PEND
BKG00121,USR00121,roundtrip,Paris,12/1/23,12/9/23,CONFIRMED
BKG00122,USR00122,one-way,London,4/17/25,4/22/25,cnfmd
BKG00123,USR00123,roundtrip,Tokyo,10/5/24,10/15/24,Cancelled
BKG00124,USR00124,one-way,Delhi,6/19/23,6/27/23,CONF
BKG00125,USR00125,roundtrip,Paris,2/14/25,2/20/25,pendng
BKG00126,USR00126,one-way,London,9/11/24,9/18/24,cncl
BKG00127,USR00127,roundtrip,Tokyo,8/1/25,8/12/25,CONF
BKG00128,USR00128,one-way,Delhi,4/9/24,4/16/24,PEND
BKG00129,USR00129,roundtrip,Paris,3/27/23,4/3/23,CONFIRMED
